Date,Close,Open,High,Low,Volume,Change %
09/25/2023,97.38,95.95,97.45,94.46,43.08M,1.23%
09/22/2023,96.2,96.92,98.42,95.61,52.17M,0.09%
09/21/2023,96.11,98.6,98.87,95.84,59.50M,-4.22%
09/20/2023,100.34,102.36,103.94,100.28,54.79M,-1.25%
09/19/2023,101.61,101.75,102.86,100.7,41.57M,-0.74%
09/18/2023,102.37,100.82,102.99,99.45,48.85M,0.87%
09/15/2023,101.49,106.07,106.76,101.28,71.10M,-4.82%
09/14/2023,106.63,108.43,109.15,106.22,45.69M,-1.00%
09/13/2023,107.71,105.1,108.74,104.83,44.59M,2.28%
09/12/2023,105.31,104.2,106.74,103.18,44.36M,-0.01%
09/11/2023,105.32,107.32,107.51,103,50.46M,-0.73%
09/08/2023,106.09,107.02,109.74,105.75,46.27M,-0.47%
09/07/2023,106.59,106.14,107.69,105.09,48.94M,-2.46%
09/06/2023,109.28,110.56,111.33,108.22,47.64M,-1.35%
09/05/2023,110.78,109,111.82,106.3,65.82M,1.22%
09/01/2023,109.45,107,110.06,106.61,54.86M,3.53%
08/31/2023,105.72,106.19,108.06,104.86,58.73M,-0.82%
08/30/2023,106.59,105.4,107.67,104.5,54.62M,0.63%
08/29/2023,105.92,102.11,106.57,101.79,50.65M,3.23%
08/28/2023,102.61,103.47,104.07,100.89,53.68M,0.35%
